title,source,date,link
[공지] 「대학원학칙」 개정 안내,대학원행정팀,2022-05-23,https://portal.korea.ac.kr/front/Intro.kpd
[공지] 대학혁신지원사업 관리 운영 규정 개정 안내,혁신지원사업...,2022-05-19,https://portal.korea.ac.kr/front/Intro.kpd
[공지] 크림슨창업지원단 학생 창업 지원에 관한 규정 제·개정 안...,창업교육팀,2022-05-06,https://portal.korea.ac.kr/front/Intro.kpd
[공지]「핵심교양 개설 및 운영 지침」 개정 안내,교양교육원행정실,2021-12-27,https://portal.korea.ac.kr/front/Intro.kpd
[공지] 교수학습개발원 제·규정 제정 안내,원격교육센터,2021-09-08,https://portal.korea.ac.kr/front/Intro.kpd
미디어관 방송 시설 대관에 관한 내규 제정,교육매체지원부,2021-02-10,https://portal.korea.ac.kr/front/Intro.kpd
